time,cpu
1528865840,8
1528867638,8
1528869477,9
1528871297,8
1528873075,8
1528874885,8
1528876728,6
1528878555,6
1528880344,6
1528882331,5
1528884496,5
1528885689,4
1528887496,4
1528889336,4
1528891268,4
1528893198,4
1528894741,4
1528896459,4
1528898274,4
1528900074,17
1528901848,42
1528903783,18
1528905503,15
1528907231,14
1528909073,14
1528910844,15
1528912817,14
1528914490,13
1528916268,11
1528918183,10
1528919881,18
1528921696,28
1528923451,18
1528925263,14
1528927104,13
1528928826,12
1528930629,12
1528932495,13
1528934327,13
1528936103,13
1528937916,12
1528939711,18
1528941454,14
1528943322,13
1528945044,13
1528946833,13
1528948524,13
1528950429,18
1528954023,12
1528955835,15
1528957642,18
1528959500,19
1528961286,15
1528963149,17
1528964927,14
1529116161,4
1529117784,4
1529119580,4
1529121350,4
1529123174,4
1529124984,4
1529126769,4
1529128606,4
1529130358,4
1529132154,4
1529133983,4
1529135804,4
1529137593,4
1529139435,4
1529141255,4
1529143093,4
1529144853,4
1529146619,4
1529148451,4
1529150214,4
1529152020,4
1529153799,4
1529155597,4
1529157381,4
1529159172,4
1529160987,4
1529162862,4
1529164582,4
1529166399,4
1529168218,4
1529171803,4
1529173589,4
1529175401,4
1529177207,4
1529178962,4
1529180757,4
1529182560,4
1529184381,4
1529186233,4
1529187997,4
1529189779,4
1529191562,4
1529193379,4
1529195188,4
1529196985,4
1529198845,4
1529200647,4
1529202387,4
1529204192,4
1529205975,4
1529207783,4
1529209596,4
1529211384,4
1529213154,4
1529214972,4
1529216772,4
1529218557,4
1529220390,4
1529222224,4
1529224056,4
1529225823,4
1529227673,4
1529229450,4
1529231251,4
1529233026,4
1529234896,4
1529236615,4
1529238425,4
1529240244,4
1529242022,4
1529243911,4
1529245596,4
1529247390,4
1529249171,4
1529250976,4
1529252808,4
1529254617,4
1529256431,4
1529258202,4
1529259992,4
1529261810,4
1529263636,5
1529265452,5
1529267214,4
1529268997,4
1529270839,4
1529272613,4
1529274425,4
1529276202,4
1529277980,4
1529279786,4
1529281616,4
1529283423,4
1529285234,4
1529287024,4
1529288802,4
1529290605,5
1529292434,5
1529294207,5
1529296008,5
1529297770,4
1529299603,4
1529301410,4
1529303216,4
1529305036,4
1529306894,5
1529308776,4
1529310474,4
1529312288,4
1529314011,4
1529315951,4
1529317678,4
1529319476,4
1529321272,4
1529323041,5
1529324959,4
1529326722,4
1529328540,4
1529330335,4
1529332142,4
1529333897,4
1529335695,4
1529337417,4
1529339236,4
1529341054,4
1529342878,4
1529344694,5
1529346409,4
1529348173,5
1529349988,4
1529351824,4
1529353647,4
1529355440,4
1529357255,4
1529359047,4
1529360804,4
1529362628,4
1529364445,4
1529366330,4
1529368026,4
1529369887,18
1529371690,24
1529373428,14
1529375217,12
1529377047,12
1529378844,13
1529380608,11
1529382423,10
1529384042,10
1529386033,9
1529387764,8
1529389495,5
1529391365,5
1529393386,5
1529395153,4
1529396968,4
1529398713,4
1529400497,4
1529402351,4
1529404160,4
1529405832,4
1529407537,4
1529409287,4
1529411347,5
1529413256,4
1529414901,5
1529417045,4
1529418583,4
1529421026,4
1529422595,4
1529423857,5
1529425648,4
1529427580,5
1529429500,4
1529431164,4
1529432905,4
1529434684,4
1529436481,4
1529438232,4
1529440267,5
1529441893,4
1529443656,4
1529445447,4
1529447306,4
1529449028,4
1529450866,4
1529452661,4
1529454451,4
1529456212,4
1529458081,5
1529459937,5
1529461681,4
